"BrandID"|"BrandName"|"BrandOEMFlag"|"BrandOwnerID"|"BrandOwner"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"GNLW"|"Goal Zero"|"False"|"GNLV"|"Goal Zero"|"GNLT"|"Goal Zero"|""|""|"Dec 18, 2015"
"GNMC"|"Heater Craft"|"False"|"GNMB"|"Heater Craft"|"GNLX"|"Heater Craft"|""|""|"Dec 18, 2015"
"GNMG"|"Jeep Tweaks"|"False"|"GNMF"|"Jeep Tweaks"|"GNMD"|"Jeep Tweaks"|""|""|"Dec 18, 2015"
"GNMK"|"J.W. Speaker"|"False"|"GNMJ"|"J.W. Speaker Corporation"|"GNMH"|"J.W. Speaker Corporation"|""|""|"Dec 18, 2015"
"GNMN"|"kNOw Where 2Jeep"|"False"|"GNMM"|"kNOw Where 2Jeep"|"GNML"|"kNOw Where 2Jeep"|""|""|"Dec 18, 2015"
"GNMR"|"Lange Originals"|"False"|"GNMQ"|"Lange Originals"|"GNMP"|"Lange Originals"|""|""|"Dec 18, 2015"
"GNMV"|"Off Roader"|"False"|"GNMT"|"HD Ridez"|"GNMS"|"HD Ridez"|""|""|"Dec 18, 2015"
"GNNC"|"Life is Good"|"False"|"GNNB"|"The Life is Good Company"|"GNMX"|"The Life Is Good Company"|""|""|"Dec 21, 2015"
"GNNG"|"LiteGrip"|"False"|"GNNF"|"LiteGrip Offroad Outfitters"|"GNND"|"LiteGrip Offroad Outfitters"|""|""|"Dec 21, 2015"
"GNNK"|"Mac Divitt Rubber Company"|"False"|"GNNJ"|"Mac Divitt Rubber Company LLC"|"GNNH"|"Mac Divitt Rubber Company LLC"|""|""|"Dec 21, 2015"
"GNNN"|"MasterCraft Safety"|"False"|"GNNM"|"MasterCraft Safety"|"GNNL"|"MasterCraft Safety"|""|""|"Mar 15, 2018"
"GNNS"|"Max-Bilt"|"False"|"GNNR"|"Max-Bilt LLC"|"GNNQ"|"Max-Bilt LLC"|""|""|"Sep 05, 2018"
"GNNW"|"Metal & Wire Products Company"|"False"|"GNNV"|"Metal & Wire Products Company Inc"|"GNNT"|"Metal & Wire Products Company Inc"|""|""|"Dec 21, 2015"
"GNPC"|"Metal Works of High Point"|"False"|"GNPB"|"Metal Works of High Point Inc"|"GNNX"|"Metal Works of High Point Inc"|""|""|"Dec 21, 2015"
"GNPG"|"Daytona Sensor"|"False"|"GNPF"|"Daytona Sensor LLC"|"GNPD"|"Daytona Sensor LLC"|""|""|"Dec 21, 2015"
"GNPK"|"Bogeya"|"False"|"GNPJ"|"Bogeya Auto Parts Co Ltd"|"GNPH"|"Bogeya Auto Parts Co Ltd"|""|""|"Dec 22, 2015"
